id,date,text,label
1293081923322023937,2020-08-11 07:08:49+00:00,"@UNDP_Pakistan with support from @mohrpakistan &amp; @UNFPAPakistan held socio-economic assessments to understand the impact of #COVID19 on transgender persons in Islamabad and Rawalpindi, ensuring to #LeaveNoOneBehind.

Read more ➡️ https://t.co/KcAmG1sLOV
#TransRightsAreHumanRights https://t.co/u0ZJhpCN0I",3.0
1237132313382838272,2020-03-09 21:45:02+00:00,"Diesen braunen Dreck bekämpfen kann man nur, indem man der Menschlickkeit uneingeschränkt Vorrang einräumt: #GrenzenAuf #WirHabenPlatz #Seebrücke #RefugeesWelcome #NoAfD https://twitter.com/andreaspetzold/status/1237088491915411457",0.0
1169524319535476736,2019-09-05 08:15:01+00:00,"#Ukraine pays out 1.1 billion dollars on #Eurobonds, - Natiomal #Bank https://bit.ly/2kvXx4L",3.0
1318227769621438465,2020-10-19 16:29:26+00:00,Wer verfasst denn beim Landkreis #Harburg die Stellenanzeigen? Seit wann sind Geflüchtete ein Produkt??? #Hamburg #Fluechtlinge https://t.co/LGZPo2T522,0.0
1236003261754134529,2020-03-06 18:58:36+00:00,#Refugees told '#Europe is closed' as tensions rise at #Greece-#Turkey #border https://t.co/AX0kWkX0zx #migrants #Syria #Russia #RecepTayyipErdogan #KyriakosMitsotakis #UN #humanrights #geopolitics #security via @guardiannews,2.0
1305787285858856960,2020-09-15 08:35:23+00:00,"@DragonF40237159 @nikitheblogger Lesbos, veröffentlichtes schockierendes Videomaterial, 
das die ""illegalen Flüchtlinge"" zeigt, wie sie die Einheimischen auf der Insel während der Fahrt beklauen.  

https://t.co/hPOXiKFkxH",1.0
1299783632077422602,2020-08-29 18:59:01+00:00,"@KeepYourCountry @MVLouiseMichel @AntiRaids I have. I hope to make a donation every month, whatever I can spare.

I already give monthly donations to 5 x charities.

I hope you donate too - follow the link.

I wish I could win the lottery and donate millions.

#RefugeesWelcome",0.0
1297144221992923140,2020-08-22 12:10:56+00:00,"ICYMI: my latest blog post @MigKnow tells the story of an young #refugee from #Austria in New York - and the relief efforts of persons like Trude Frankl, a refugee from #vienna herself and active in the #Kindertransport rescue of children #migknow #refugeehistory #migration https://t.co/zwqpSVul4K",0.0
1322079126866563072,2020-10-30 07:33:21+00:00,@britishlivesuk Strange that a letter was written - most people nowadays just use their mobile phone. And he WILL have a smart phone- he's a 'refugee'!,1.0
1307822189819965446,2020-09-20 23:21:22+00:00,@DrGaryWegman @TimRyan @Bob_Casey @JoshShapiroPA It was great to connect!! What a great event. Many thanks for having me. #BackToBluePA! #LeaveNoOneBehind #FiredUpandReadyToGo!!✊🏽✊🏽✊🏽,2.0
