id,date,text
1223159639899955200,2020-01-31 08:22:38+00:00,"@mattkeane91 Nicely timed - as somebody once said, today could be a good to bury bad news! Definitely a sign of things to come; lying is a way of life with this bunch of crooks. #EUsolidarity"
1217237172937359361,2020-01-15 00:08:51+00:00,@RiboGuy @KitchenChemProf The problem with increased number of applicants is that it becomes more difficult to get at least 3 reviewers to read them all in a timely manner. We had to ask for help from our faculty to get through nearly 200 applicants. #grexit
1301058108261793792,2020-09-02 07:23:20+00:00,"@Andreas46447572 Der Genosse Geisel hat durch sein undemokratisches Handeln jegliches Asylrecht in der BRD verwirkt,er ist somit sofort auszuweisen.Vorschlag Nordkorea da kann er seine Gesinnung ausleben✊🏻"
1247616611185459203,2020-04-07 20:05:54+00:00,"Schade, dass #Seehofer nicht Geburtstag hatte. Dann hätte D 69 statt 50 Kinder aufgenommen.
#RefugeesWelcome #NoOneLeftBehind"
1206545295687012352,2019-12-16 12:03:09+00:00,"„#Seenotrettung“ verbilligt die Überfahrt, wird von professionellen Schleusern als Faktor ihrer Preiskalkulation bereits fest eingeplant. http://www.pi-news.net/2019/12/merkel-auf-der-jagd-nach-noch-mehr-fachkraeften-aus-aller-welt/"
1305082696830521345,2020-09-13 09:55:36+00:00,"@Regendelfin Wenn wir alle Flüchtlinge von dort in Europa aufnehmen, trifft jeder Flüchtling, auf 35.000 potentielle Opfer. 🤪 Das können wir doch nicht aushalten. 😮"
1262437171509764097,2020-05-18 17:37:31+00:00,"#Rechtsradikale im Osten der Republik sind ein Problem, aber nicht nur da. Geht gar nicht... Bis zu 20 Jugendliche in #Brandenburg greifen #Flüchtlinge an https://www.tagesspiegel.de/berlin/polizei-justiz/rassistische-attacke-in-guben-bis-zu-20-jugendliche-in-brandenburg-greifen-fluechtlinge-an/25840676.html"
1192259096688414731,2019-11-07 01:54:54+00:00,"Education pathways programs like the #StudentRefugeeProgram can incentivize #refugee youth to complete their studies, improve access to #education for girls, and strengthen the quality of  education in countries of asylum. #UNHCR #solutions #girlsed #GCR
http://bit.ly/2JPTKFV"
1316039032728674306,2020-10-13 15:32:10+00:00,"@Hartes_Geld Flüchtlinge nehmen was ihnen Angeboten wird
und sind dankbar und zufrieden.

Invasoren fordern und geben sich nur mit dem besten zufrieden, vergewaltigen und erstechen ihre Gastgeber und verhöhnen sie..."
1198331687714934785,2019-11-23 20:05:12+00:00,"@CityPortland There was some discussion of families being moved from #PortlandME to #Scarborough but the City says that did NOT happen because the families did not want to go there. 


@CityPortland says it will ""follow up"" on that issue Monday. #AsylumSeekers"
1322302180800503813,2020-10-30 22:19:41+00:00,@BILD #wirhabenplatz
1252154824625455104,2020-04-20 08:39:08+00:00,#refugees #refugeecrisis 1 author encyclopedia site:Will Islam take over Europe or will #Muslims gradually integrate http://bit.ly/SesVJ7
1259048948305715203,2020-05-09 09:13:55+00:00,"OMG! das ist die Antwort auf Rezo. 1h Beruhigungsmusik für Coronazeiten oder die Toilettenanlage im Bundestag. 800.000 Klicks.
#Wirschaffendas https://twitter.com/moylato/status/1259044762860105729"
1266886874141995013,2020-05-31 00:19:03+00:00,#SyrianArmy #SyrianRefugees #Iraq Fact n fiction book site:Middle east is unstable https://t.co/lICagfR253 https://t.co/IAijpD67ys #refugees
1303595421911089154,2020-09-09 07:25:42+00:00,"@KuehniKev Stimmt zu. Aber dann muss bis zur Klärung der Aufenthalt ALLER 100% überwacht werden... oder geht das nicht wegen Datenschutz? Und wenn das Lager evakuiert ist (besser im Februar), dann ist das Problem Flüchtlinge unterzubringen erledigt. Oder sehen Sie das Problem komplexer???"
1171072071545294849,2019-09-09 14:45:13+00:00,#TurkishAirlines gets nod to issue $2bn of #Eurobonds #Turkey #DebtMarkets #Lira #Airlines http://bit.ly/319NzWD
1233286855099125760,2020-02-28 07:04:34+00:00,"Ich möchte über die Deutschlandpolitik nicht urteilen oder diese werten. Ich muss jedoch sagen, dass du ich diese mit Spannung verfolge. #Coronavius #Flüchtlingswelle #Wahlen https://twitter.com/FRIEDRICH_WEIK/status/1233285724264452096"
1256563591752409088,2020-05-02 12:38:00+00:00,"An interesting report on Free Digital Learning Opportunities for Migrants and Refugees: An Analysis of Current Initiatives and Recommendations for their Further Use!

https://t.co/rzeLrEhasj

#eu #erasmusplus #volutoring #digitallearning #refugees #migrants #volunteerism"
1304491722861355008,2020-09-11 18:47:17+00:00,"@BrokenMindset_ Es geht um unzählige, komplexe Faktoren. Das weiß aber niemand im Land, der nicht hautnah täglich an der Problematik dran ist. Wagenknecht hatte Recht, als sie sagte, das Problem liege darin, dass die Flüchtlinge gegen d. Bevölkerung ausgespielt werden."
1322317275945467904,2020-10-30 23:19:40+00:00,@LuchyelNoob @hevalkellimd @realDonaldTrump I live in Europe and work with refugees.  They are not a huge problem. The racism and abject poverty they are forced to endure is horrendous.  They spend years as asylum seekers before  they are given the right to settle and work.  Many are highly qualified and hard-working.
1243831109328216065,2020-03-28 09:23:40+00:00,Hope #LeaveNoOneBehind includes women and children living with domestic violence. https://t.co/230UCY6AIH
1226685730300342274,2020-02-10 01:54:03+00:00,#IslamicState #bomb #refugeecrisis Knowledge is power site:Brit #MPs deslike attack on Syria http://bit.ly/1dg9UTW
1304094368865964034,2020-09-10 16:28:21+00:00,Demonstranten fordern: Stadt Göttingen muss Moria-Flüchtlinge aufnehmen https://t.co/JpZEuPjXOz
1310885849182031872,2020-09-29 10:15:16+00:00,"#Rohingya #children show their respect and support one another

Refugees camp 
Cox,s bazaar 
in Bangladesh https://t.co/JhmPgjpZIk"
1327097970664337416,2020-11-13 03:56:27+00:00,So Many Heartbreaking Stories In Such Refugees Camp ...💔 https://t.co/sWQGjrfvHS
1197877250454118401,2019-11-22 13:59:26+00:00,"I've just emailed all the candidates who hope to be my next MP, asking them to stand with refugees. #GE2019 #RefugeesWelcome. Will you do the same?  https://act.refugee-action.org.uk/page/51619/action/1?en_chan=tw&locale=en-GB&ea.tracking.id=Twitter-sharing&en_ref=149952280"
1218126487951495175,2020-01-17 11:02:41+00:00,"📢New #publication!📢 ""Effects of the #RefugeeCrisis on Perceptions of #AsylumSeekers in Recipient Populations"" by our PhD candidate Lise Lund Bjånesøy has been published in the Journal of Refugee Studies!🎉 #publicopinion #immigration #polisci #survey #research"
1246529646767665153,2020-04-04 20:06:41+00:00,"""For now, we do not know the motive behind this attack,"" the mayor's office of Romans-sur-Isere said in a statement.

Police told French media the suspect, age 33, was an asylum seeker from Sudan who had been living in the area.

#AsylumSeeker
#NothingToSeeHere 
@PrisonPlanet https://twitter.com/UPI/status/1246524834302984192"
1231963309655625731,2020-02-24 15:25:16+00:00,"„Die EU ist eine Wertegemeinschaft. Die #Menschenrechte bilden ihre Grundlage. Mit der Aushöhlung des #Asylrecht s und den eklatanten Verletzungen der #Flüchtlingsrechte zerstört die EU die Grundlagen, auf denen sie selbst 1957 errichtet wurde.“ https://www.amazon.de/Die-Schande-Europas-Flüchtlingen-Menschenrechten/dp/3570104230/"
1307266561250603013,2020-09-19 10:33:30+00:00,Sind die Flüchtlinge aus Moria in Berlin angekommen? https://t.co/gMHukWb9Qv
1304416600871895041,2020-09-11 13:48:47+00:00,"Sei kein Wildschwein, Wolf, Flüchtling oder keine nicht weiße Person. Sonst ist Deutschland gerade echt scheiße zu dir."
1315733927051644930,2020-10-12 19:19:48+00:00,"@helgelindh Dann lieber Helge bist du für den #Breitscheidplatz für fie getötete Mia aus Kandel, für die getötete Maria aus #Freiburg und für jedes weitere durch Flüchtlinge getötete Opfer mitverantwortlich! Denn es ist DEINE Politik die du betreibst, die DAS erst möglich macht  !"
1310973855926636544,2020-09-29 16:04:58+00:00,"Kao Saelee is an #IuMien refugee, who fled during the Secret War in Vietnam. As an indigenous minority in Laos, Saelee has limited resources &amp; support if deported. @GavinNewsom #FreeSaelee by granting him a pardon! He belongs w/his family &amp; community here. #StopICEtransfers https://t.co/BKtv8Fdk6B"
1192779449923751936,2019-11-08 12:22:36+00:00,"Seit dem #Mauerfall am 9. November 1989 ist Europa mit neuen Barrieren ausgestattet worden, sechsmal länger als die Mauer der deutschen Hauptstadt, die den Westen und den Sowjetblock im Herzen Europas trennte. #OpenTheBorders #MugakZabalduz #NoBorders https://twitter.com/MugakZabalduz/status/1192744017437569024"
1272943729305890816,2020-06-16 17:26:49+00:00,"@MJBr00ks58 @Aquarist1 @pritipatel Safe Passage is integral to this process, which is why when the government voted down Lord Dubs amendment my heart broke, how it goes against British values! Lets support https://t.co/vTTMg0p7fL and sign the petitions! https://t.co/5m8N4NVA5C #RefugeeWeek2020 #RefugeesWelcome"
1310802299636396033,2020-09-29 04:43:16+00:00,@Alex60013331 @hugh_mcdermott @Artsakh_Parl Of course all the people there are Armenians now! 800.000 Azerbaijani people were refugees and killed in Karabakh! Now Your brothers die on the war too! Both sides loose young great boys now! Don’t you want to stop this nightmare?
1207745766548221952,2019-12-19 19:33:24+00:00,"Urgent message to the world. The #WhiteHelmets leader at the #MaaratalNuman sector reports about the humanitarian catastrophe that threatens the lives of more than 180,000 people in #Idlib, northern #Syria.
#Outrage4Idlib
#IdlibUnderFire 
#OPENTHEBORDERS

https://twitter.com/i/status/1207673672602918914"
1265609129617510400,2020-05-27 11:41:45+00:00,"Thinking about #childreninpandemic

Happy Children's Day!

We dedicate this day to the innocent #almajiri kids infected or displaced by COVID-19 in Northern Nigeria. 

#Nigeria #ChildrensDay2020 #COVID19 #washdrivers #WASH #CleanWaterForAll #LeaveNoOneBehind"
1189803858719072256,2019-10-31 07:18:40+00:00,"Day 2 of the accountability and advocacy workshop hosted by @SexRightsAfrica and @Account4All. Delegates are being trained on developing scorecards which will capacitate them to champion accountability in their respective countries.
#ExpectRespect
#leavenoonebehind"
1234927432236503040,2020-03-03 19:43:38+00:00,"Ignoring European and international asylum law, German Interior Minister Horst #Seehofer now letting potential refugees coming from Turkey know in Arabic:

""Europe’s borders are not open for #refugees from #Turkey, and neither are our German borders.""

#Asylum #Asylrecht #EU https://twitter.com/BMI_Bund/status/1234911949915381767"
1199836864833892352,2019-11-27 23:46:15+00:00,"#Greece must take ""urgent"" steps to improve ""miserable"" conditions in its overcrowded island migrant camps, UN refugee chief said. There are over 39,000 #AsylumSeekers in Greek island migrant camps https://news.yahoo.com/un-urges-greece-fix-miserable-migrant-camps-113520019.html #RefugeeCrisis #HumanRights #OpenTheIslands #SavePassage"
1290743545050038272,2020-08-04 20:16:56+00:00,"So are we being forced to accept these people, or are we doing it voluntarily? Either way, WHY? #migration #asylumseekers https://t.co/qrloKMRmZs"
1242409466974343168,2020-03-24 11:14:34+00:00,"#Coronabonds sind kein Eibstieg in eine #Schuldenunion, sondern ein wichtiges Zeichen europäischer #Solidarität! Insbesondere in Deutschland sollten wir uns unserer Verantwortung für #Europa endlich stellen. 

https://focus.de/11804958"
1298415892280287232,2020-08-26 00:24:06+00:00,"""I was born in Kutupalong [#refugee] camp, #Bangladesh... I see this place as full of suffering."" ""Our shelters are getting old... When it rains, water pours in."" ""I am trying to protect my family from #Covid"" but ""social distancing is just not possible"" https://t.co/7KLMPvJLF2"
1197789240387678208,2019-11-22 08:09:43+00:00,"Seit 14 Jahren #Merkel. Politischer &amp; moralischer Bankrott: „Sie hat dem Morden in #Syrien, den Fassbomben gegen Schulen, dem Vergasen von Menschen mit der deutschen Erfindung Sarin zugesehen. Sie hat sowohl die #Flüchtlingskrise als auch den ISIS-#Terror sträflich begünstigt.“ https://twitter.com/HGMaassen/status/1197763397154201601"
1219970750867759104,2020-01-22 13:11:07+00:00,"#Ukraine to release first ten years-long #Eurobonds this year, - Finance Ministry
https://112.international/finance/ukraine-to-release-first-ten-years-long-eurobonds-this-year-finance-ministry-47762.html"
